symbol,underlying_symbol,underlying_price,expiration_date,strike,contract_type,mark,bid,ask,delta,gamma,theta,vega,rho,open_interest,total_volume,volatility
SPXW241016P05795000,SPX,5841.88,2024-10-16,5795.0,PUT,3.6,3.575,3.625,-0.15103027681801007,0.0051160401451712115,-1649.1365787221748,78.02006493781474,-2.880238620658543,0,2,13.7443
SPXW241016P05800000,SPX,5841.88,2024-10-16,5800.0,PUT,4.2,4.175,4.225,-0.17354988689979933,0.005712585806020796,-1770.0432239686675,85.41208575268482,-3.3099066939945,0,1,13.4753
SPXW_2024-10-16_P_5805.0,SPX,5841.88,2024-10-16,5805.0,PUT,5.1129999999999995,5.1129999999999995,5.1129999999999995,-0.20308679369542015,0.0063143404511241666,-1944.3180626298617,94.11496297005834,-3.8738726605063096,0,0,13.4333
SPXW241016P05810000,SPX,5841.88,2024-10-16,5810.0,PUT,6.026,6.001,6.051,-0.23315190777711847,0.006936432552743455,-2075.4930906545055,101.91538586099169,-4.44787095956468,0,4,13.242
SPXW241016P05815000,SPX,5841.88,2024-10-16,5815.0,PUT,7.1,7.075,7.125,-0.2667199268125239,0.0075505791471526685,-2199.541047438134,109.46296080846238,-5.0889237066743505,0,1,13.0659
SPXW241016P05820000,SPX,5841.88,2024-10-16,5820.0,PUT,8.12,8.045,8.195,-0.30093526439822105,0.008229062053716416,-2265.627099293712,115.97927970874443,-5.742095537617989,0,2,12.7023
SPXW241016P05825000,SPX,5841.88,2024-10-16,5825.0,PUT,9.604,9.564,9.644,-0.3421081047433183,0.008758539920862857,-2368.507495158352,122.33881284435567,-6.528920477053148,0,2,12.5888
SPXW_2024-10-16_P_5830.0,SPX,5841.88,2024-10-16,5830.0,PUT,11.251999999999999,11.251999999999999,11.251999999999999,-0.3857186017900406,0.009228495943317937,-2437.6241041921207,127.39719148807994,-7.362577342920716,0,0,12.4417
SPXW241016P05835000,SPX,5841.88,2024-10-16,5835.0,PUT,12.9,12.875,12.925,-0.43098537286878724,0.009727309006498094,-2441.3248350102617,130.89412791776542,-8.227691933857631,0,3,12.1277
SPXW241016P05840000,SPX,5841.88,2024-10-16,5840.0,PUT,14.88,14.7661,14.9939,-0.4797212881631452,0.010057036449337198,-2427.468573400377,132.71586542457425,-9.159775818617296,0,13,11.8933
SPXW241016P05845000,SPX,5841.88,2024-10-16,5845.0,PUT,17.42,17.37,17.47,-0.5300247822626047,0.010040207639846881,-2424.038176194433,132.511050867981,-10.123453517559566,0,2,11.8949
SPXW241016P05850000,SPX,5841.88,2024-10-16,5850.0,PUT,20.0,19.975,20.025,-0.580918034130404,0.00999539463924712,-2348.7142736691912,130.1445810317007,-11.098462579395239,0,2,11.7348
SPXW_2024-10-16_P_5855.0,SPX,5841.88,2024-10-16,5855.0,PUT,22.9,22.9,22.9,-0.6312593165126459,0.009741601215065619,-2245.5474780181075,125.62825222637467,-12.06402847698476,0,0,11.6227
SPXW241016P05860000,SPX,5841.88,2024-10-16,5860.0,PUT,25.8,25.775,25.825,-0.6835261723234282,0.009459397886312598,-2059.8107863689065,118.56498043500571,-13.066166967521013,0,6,11.2965
